rule,value,n_node_samples,path_len
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 <= 0.190982 AND f1 > -1.571988 AND f2 > 0.614656 AND f3 <= -1.262290 AND f6 > -2.592262 AND f1 <= -1.149819 AND f2 <= 1.843446 AND f4 > -1.669916 AND f7 > 0.182766 AND f0 > -1.607564 AND f2 <= 1.041168 AND f1 > -1.511947 AND f2 <= 0.984283 AND f14 > -0.283209 AND f8 <= 0.576690 AND f5 <= -0.025673 AND f4 <= -1.220425 AND f6 > -0.077822,41.214285714285715,4,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 <= -0.427441 AND f13 <= 0.398653 AND f0 <= -0.420358 AND f13 > -0.226708 AND f3 <= -0.262128 AND f1 <= -1.176087 AND f1 > -1.410626 AND f0 <= -0.487210 AND f13 > 0.387588 AND f6 > 0.377209 AND f0 > -0.770757 AND f0 <= -0.556368 AND f4 > -1.304860 AND f6 <= 0.669449 AND f5 > 0.005730,33.92857142857143,4,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 <= -0.427441 AND f13 <= 0.398653 AND f0 <= -0.420358 AND f13 > -0.226708 AND f3 <= -0.262128 AND f1 > -1.176087 AND f1 <= -0.703258 AND f5 <= 0.173215 AND f1 <= -0.847734 AND f13 > 0.391113 AND f3 > -0.504150 AND f4 <= -0.461754 AND f0 > -0.650883 AND f7 > 0.192293 AND f3 > -0.391887,34.285714285714285,4,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 <= -0.427441 AND f13 <= 0.398653 AND f0 <= -0.420358 AND f13 > -0.226708 AND f3 > -0.262128 AND f6 <= 0.337002 AND f13 <= 0.395210 AND f1 > -0.825218 AND f8 <= 1.447969 AND f7 <= 0.215359 AND f5 <= 0.309296 AND f5 <= 0.287198 AND f0 <= -0.577115 AND f3 > -0.160071 AND f9 > -0.235085,40.4965811965812,4,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 > -0.427441 AND f13 > -1.908863 AND f10 <= 0.938992 AND f13 <= 0.402842 AND f13 <= 0.392633 AND f13 > -1.518162 AND f4 > -0.558605 AND f7 <= 0.214745 AND f9 > -1.227614 AND f7 <= 0.207656 AND f14 <= -0.198952 AND f8 <= 1.593183 AND f9 <= 1.005576 AND f8 <= -0.439802 AND f0 <= -0.159864,56.651975683890576,4,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 > -0.427441 AND f13 > -1.908863 AND f10 <= 0.938992 AND f13 <= 0.402842 AND f13 > 0.392633 AND f14 <= -0.170322 AND f4 <= -0.729958 AND f13 > 0.394836 AND f4 > -1.170757 AND f0 <= -0.272822 AND f8 > 0.576690 AND f4 > -1.016788 AND f2 > 0.038811 AND f4 > -0.983262 AND f0 <= -0.332758,36.75726495726495,4,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 > -0.427441 AND f13 > -1.908863 AND f10 <= 0.938992 AND f13 <= 0.402842 AND f13 > 0.392633 AND f14 <= -0.170322 AND f4 > -0.729958 AND f1 > -0.070942 AND f0 <= 0.179008 AND f8 <= 0.794510 AND f13 <= 0.397296 AND f0 <= -0.275127 AND f13 > 0.392931 AND f0 > -0.678546 AND f9 <= -0.731350,48.5,4,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 > -0.427441 AND f13 > -1.908863 AND f10 <= 0.938992 AND f13 <= 0.402842 AND f13 > 0.392633 AND f14 <= -0.170322 AND f4 > -0.729958 AND f1 > -0.070942 AND f0 <= 0.179008 AND f8 <= 0.794510 AND f13 <= 0.397296 AND f0 <= -0.275127 AND f13 > 0.392931 AND f0 > -0.678546 AND f9 > -0.731350,45.5,4,20
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 > -0.985277 AND f1 > -0.427441 AND f13 > -1.908863 AND f10 <= 0.938992 AND f13 <= 0.402842 AND f13 > 0.392633 AND f14 > -0.170322 AND f8 <= -0.875442 AND f14 <= -0.144149 AND f0 <= -0.166780 AND f13 > 0.392884 AND f3 > -0.037602 AND f0 <= -0.503347 AND f13 > 0.393530 AND f9 <= 1.253709 AND f4 > -0.775901,32.255102040816325,4,20
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 <= 0.190982 AND f1 <= -1.571988 AND f4 <= -1.473729 AND f4 <= -1.804018 AND f2 > 3.632389 AND f6 > 0.135964 AND f13 > -9.109210,10.0,3,9
IF f2 <= -0.157345 AND f7 > 0.195483 AND f0 <= 0.289661 AND f14 > -0.169958 AND f13 > 0.398949 AND f1 > 0.351227 AND f13 > 0.406147 AND f14 > -0.152427 AND f3 <= 1.264359 AND f13 <= 0.412486,34.0,3,10
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 > 0.190982 AND f13 <= -0.288834 AND f13 <= -2.257548 AND f13 <= -3.849184 AND f13 > -5.871584 AND f13 > -4.694530 AND f13 <= -4.221504 AND f13 <= -4.526074,18.0,3,10
IF f2 <= -0.157345 AND f7 > 0.195483 AND f0 <= 0.289661 AND f14 > -0.169958 AND f13 <= 0.398949 AND f13 > -1.779359 AND f13 <= 0.392464 AND f13 <= -1.185760 AND f13 > -1.426585 AND f13 <= -1.331230 AND f13 <= -1.388880,51.0,3,11
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 <= 0.190982 AND f1 <= -1.571988 AND f4 <= -1.473729 AND f4 > -1.804018 AND f1 > -1.926611 AND f2 > 2.547646 AND f8 <= -1.020655 AND f5 > 0.012709 AND f8 <= -1.238475,15.5,3,11
